Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C5970161,CMP0805QFX-22R0ELF,BOURNS,0805,,22Ω 500mW Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,yes,5,5,5,0.0982,0.49,https://www.lcsc.com/product-detail/C5970161.html
2,C3000849,VJ0805Y104KXACW1BC,VISHAY,0805,,100nF ±10% 50V Ceramic Capacitor X7R 0805,yes,40,20,20,0.0154,0.62,https://www.lcsc.com/product-detail/C3000849.html
3,C6119928,CGA0805X7R105K101MT,HRE,0805,,1uF ±10% 100V Ceramic Capacitor X7R 0805,yes,5,5,5,0.0943,0.47,https://www.lcsc.com/product-detail/C6119928.html
4,C913595,GRM21A5C2E100JW01D,muRata,0805,,10pF ±5% 250V Ceramic Capacitor C0G 0805,yes,10,10,10,0.0576,0.58,https://www.lcsc.com/product-detail/C913595.html
5,C2175468,VJ0805V225MXJTW1BC,VISHAY,0805,,2.2uF ±20% 16V Ceramic Capacitor Y5V 0805,yes,10,5,5,0.0200,0.20,https://www.lcsc.com/product-detail/C2175468.html
6,C415302,CGA4C2C0G1H332JT0Y0N,TDK,0805,,3.3nF ±5% 50V Ceramic Capacitor C0G 0805,yes,10,10,10,0.0476,0.48,https://www.lcsc.com/product-detail/C415302.html
7,C2169545,VJ0805Y103KXACW1BC,VISHAY,0805,,10nF ±10% 50V Ceramic Capacitor X7R 0805,yes,10,10,10,0,0,https://www.lcsc.com/product-detail/C2169545.html
8,C162422,GRM21BR6YA106KE43L,muRata,0805,,10uF ±10% 35V Ceramic Capacitor X5R 0805,yes,5,5,5,0,0,https://www.lcsc.com/product-detail/C162422.html
9,C2174635,VJ0805Y474KXJTW1BC,VISHAY,0805,,470nF ±10% 16V Ceramic Capacitor X7R 0805,yes,5,5,5,0.0108,0.05,https://www.lcsc.com/product-detail/C2174635.html
10,C162420,GRM21BR61H475KE51L,muRata,0805,,4.7uF ±10% 50V Ceramic Capacitor X5R 0805,yes,5,5,5,0,0,https://www.lcsc.com/product-detail/C162420.html
11,C117815,STM32F427VGT6,ST,LQFP-100(14x14),,ARM Cortex-M4 32 Bit 180MHz LQFP-100(14x14) Microcontrollers RoHS,yes,2,1,1,9.1987,18.40,https://www.lcsc.com/product-detail/C117815.html
12,C51966230,MKDV1GCL-ABF,MK,LGA-8(6x8),,"1Gbit 2.7V~3.6V 50MHz SD interface LGA-8(6x8) Memory ",yes,5,1,1,5.0860,25.43,https://www.lcsc.com/product-detail/C51966230.html
13,C124187,BAT760-7,DIODES,SOD-323,,1 Independent 30V 550mV@1A 1A SOD-323 Single Diodes RoHS,yes,10,5,5,0.2508,2.51,https://www.lcsc.com/product-detail/C124187.html
14,C60420,STM32F411CEU6,ST,UFQFPN-48(7x7),,ARM Cortex-M4 32 Bit 100MHz UFQFPN-48(7x7) Microcontrollers RoHS,yes,2,1,1,6.1121,12.22,https://www.lcsc.com/product-detail/C60420.html
15,C8322,STM32F103RET6,ST,LQFP-64(10x10),,ARM Cortex-M3 32 Bit 72MHz LQFP-64(10x10) Microcontrollers RoHS,yes,2,1,1,3.9051,7.81,https://www.lcsc.com/product-detail/C8322.html
16,C130055,TPS2553QDBVRQ1,TI,SOT-23-6,,High Side Switch 1 Channel 1.5A SOT-23-6,yes,3,1,1,2.5844,7.75,https://www.lcsc.com/product-detail/C130055.html
17,C107335,MPZ1608S601ATA00,TDK,0603,,600Ω@100MHz 1 Line Ferrite Bead 0603 1A 150mΩ,yes,10,10,10,0.0186,0.19,https://www.lcsc.com/product-detail/C107335.html
18,C964632,CP2102N-A02-GQFN28R,SILICON LABS,QFN-28-EP(5x5),,USB to UART QFN-28-EP(5x5) Controllers RoHS,yes,2,1,1,1.8366,3.67,https://www.lcsc.com/product-detail/C964632.html
19,C12084,SN65HVD230DR,TI,SOIC-8,,"3V~3.6V CAN Transceiver 1Mbps SOIC-8 Drivers, Receivers, Transceivers RoHS",yes,6,1,1,0.6410,3.85,https://www.lcsc.com/product-detail/C12084.html
20,C97521,W25Q128JVSIQ,Winbond,SOIC-8-208mil,,128Mbit 2.7V~3.6V 133MHz SPI SOIC-8-208mil Memory RoHS,yes,3,1,1,2.5782,7.73,https://www.lcsc.com/product-detail/C97521.html
21,C55266,TPS2553DBVR,TI,SOT-23-6,,"1 Active High 1.5A High Side Switch SOT-23-6 Power Distribution Switches, Load Drivers RoHS",yes,2,1,1,0.5434,1.09,https://www.lcsc.com/product-detail/C55266.html
22,C38523,CL10C120JB8NNNC,Samsung Electro-Mechanics,0603,,12pF ±5% 50V Ceramic Capacitor C0G 0603,yes,50,50,50,0.0132,0.66,https://www.lcsc.com/product-detail/C38523.html
23,C28323,CL21B105KBFNNNE,Samsung Electro-Mechanics,0805,,1uF ±10% 50V Ceramic Capacitor X7R 0805,yes,10,10,10,0.0403,0.40,https://www.lcsc.com/product-detail/C28323.html
24,C19110,CL21B225KAFNNNE,Samsung Electro-Mechanics,0805,,2.2uF ±10% 25V Ceramic Capacitor X7R 0805,yes,20,10,10,0.0338,0.68,https://www.lcsc.com/product-detail/C19110.html
25,C17437,0805W8F1200T5E,UNI-ROYAL,0805,,120Ω ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0062,0.62,https://www.lcsc.com/product-detail/C17437.html
26,C15742,STM32F405RGT6,ST,LQFP-64(10x10),,ARM Cortex-M4 32 Bit 168MHz LQFP-64(10x10) Microcontrollers RoHS,yes,9,1,1,6.0228,54.21,https://www.lcsc.com/product-detail/C15742.html
