Reference,Qty,Value,Mouser,LCSC Part Name,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
"SwReset1,SwReset2,SwReset3",3,SW_Push,,C49234124,,,,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,~
"SwBoot1,SwBoot2,SwBoot3",3,SW_Nidec_CAS-120A1,,C5962834,,,,Button_Switch_SMD:Nidec_Copal_CAS-120A,https://www.nidec-components.com/e/catalog/switch/cas.pdf
U3,1,USBLC6-2SC6,,C2969755,,,,Package_TO_SOT_SMD:SOT-23-6,https://www.st.com/resource/en/datasheet/usblc6-2.pdf
"R4,R5",2,5k1,,C2907269,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
"U10,U12",2,TMUX1574PWR,,C2673443,,,,TMUX1574PWR:PWP16_2P31X2P46_TEX,https://www.ti.com/lit/gpn/tmux1574
"D2,D5,D7",3,LED,,C965815,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
"D1,D4,D6",3,LED,,C965812,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
LSE1,1,Crystal,,C519280,,,,XTAL_NX3215SA_NDK:XTAL_NX3215SA_NDK,~
"C5,C21,C36",3,10uF,,C237493,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
U6,1,MAX6369KA+T,,C128613,,,,MAX6369KA+T:21-0078H_MXM,MAX6369KA+T
D3,1,D_Schottky,,C124187,,,,Diode_SMD:D_SOD-323_HandSoldering,~
"C1,C18,C34",3,4.7u,,C98195,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
"U9,U11",2,W25Q128JVSIQ,,C97521,,,,W25Q128JVS:SOIC_128JVSIQ_WIN,W25Q128JVSIQ
"C3,C7",2,12pF,,C38523,,,,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,~
"C17,C32,C47",3,1uF,,C28323,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
"C12,C15,C28,C29,C42,C44",6,2.2uF,,C19110,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
"U1,U4,U5",3,STM32F405RGTx,,C15742,,,,Package_QFP:LQFP-64_10x10mm_P0.5mm,https://www.st.com/resource/en/datasheet/stm32f405rg.pdf
U2,1,SN65HVD230DR,,C12084,,,,SN65HVD230DR:D8,https://www.ti.com/lit/gpn/sn65hvd230
"C6,C8,C11,C22,C23,C26,C37,C38,C41",9,100nF,,C1711,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
"C2,C10,C19,C25,C33,C39",6,15pF,,C1644,,,,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,~
"C4,C9,C13,C14,C16,C20,C24,C27,C30,C31,C35,C40,C43,C45,C46",15,100nF,,C1591,,,,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,~
"XTAL1,XTAL2,XTAL3",3,ECS-80-12-30BQ-JES-TR,,,,Excluido del BOM,,ECS-80-12-30BQ-JES-TR:ECS-80-12_ECS,ECS-80-12-30BQ-JES-TR
U7,1,AMS1117-3.3,,,,,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://www.advanced-monolithic.com/pdf/ds1117.pdf
R20,1,10K,,,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
R14,1,26.1K,,,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
R7,1,120,,,,,,,~
"R6,R16,R17,R18,R19",5,10k,,,,,,,~
"R2,R3,R9,R10,R12,R13",6,330,,,,Excluido del BOM,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
"R1,R8,R11",3,10k,,,,Excluido del BOM,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~
J3,1,USB_C_Receptacle_USB2.0_16P,,,,Excluido del BOM,,USB4940-00-A:USB494000A,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
J2,1,Conn_01x04,,,,,,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Left,~
J1,1,Conn_02x24_Odd_Even,,,,,,,~
IC1,1,TPS2553QDBVRQ1,,,,,,OCP_TPS2553QDBVRQ1:SOT95P280X145-6N,http://www.ti.com/lit/gpn/tps2553-q1
"FB1,FB2,FB3",3,FerriteBead,,,,Excluido del BOM,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
D10,1,D_Schottky,,,,,,,~
C60,1,150uF,,,,,,Capacitor_SMD:C_Elec_6.3x7.7,
C57,1,1uF,,,,,,TMUX1574PWR:PWP16_2P31X2P46_TEX,~
C55,1,1uF,,,,,,XTAL_NX3215SA_NDK:XTAL_NX3215SA_NDK,~
"C50,C51",2,10uF,,,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
"C48,C53,C54,C56,C58",5,100nF,,,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
