"Reference","Qty","Value","LCSC Part Name","Footprint"
"SwReset1,SwReset2,SwReset3","3","SW_Push","C49234124","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK"
"COMS1,MAIN1,RESET1","3","Conn_01x05","C41417362","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Right"
"SwBoot1,SwBoot2,SwBoot3","3","SW_Nidec_CAS-120A1","C22401620","Button_Switch_SMD:Nidec_Copal_CAS-120A"
"R14","1","26.1K","C2933386","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R2,R3,R9,R10,R12,R13","6","330","C2930157","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R4,R5","2","5k1","C2907269","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R1,R6,R8,R11,R16,R17,R18,R19,R20","9","10k","C2907219","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"U8,U10","2","TMUX1574PWR","C2673443","TMUX1574PWR:SOP65P640X120-16N"
"D2,D5,D7","3","LED","C965815","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"D1,D4,D6","3","LED","C965812","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"LSE1","1","Crystal","C519280","XTAL_NX3215SA_NDK:XTAL_NX3215SA_NDK"
"C5,C21,C36,C50,C51","5","10uF","C237493","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"U6","1","MAX6369KA+T","C128613","MAX6369KA+T:21-0078H_MXM"
"D3,D10","2","D_Schottky","C124187","Diode_SMD:D_SOD-323_HandSoldering"
"C1,C18,C34","3","4.7u","C98195","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"U9,U11","2","W25Q128JVSIQ","C97521","W25Q128JVS:SOIC_128JVSIQ_WIN"
"IC1","1","TPS2553QDBVRQ1","C55266","OCP_TPS2553QDBVRQ1:SOT95P280X145-6N"
"C3,C7","2","12pF","C38523","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"
"C17,C32,C47,C55,C57","5","1uF","C28323","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C12,C15,C28,C29,C42,C44","6","2.2uF","C19110","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"R7","1","120","C17437","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"U1,U4,U5","3","STM32F405RGTx","C15742","Package_QFP:LQFP-64_10x10mm_P0.5mm"
"U2","1","SN65HVD230DR","C12084","SN65HVD230DR:D8"
"C60","1","150uF","C8025","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_HandSolder"
"U3","1","USBLC6-2SC6","C7519","Package_TO_SOT_SMD:SOT-23-6"
"U7","1","AMS1117-3.3","C6186","Package_TO_SOT_SMD:SOT-223-3_TabPin2"
"C6,C8,C11,C22,C23,C26,C37,C38,C41,C48,C53,C54,C56,C58","14","100nF","C1711","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C2,C10,C19,C25,C33,C39","6","15pF","C1644","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"
"C4,C9,C13,C14,C16,C20,C24,C27,C30,C31,C35,C40,C43,C45,C46","15","100nF","C1591","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"
